ip,factory,phase,datacenter,room,row,col,side,is_pdu,name,has_data,protocol_status,status_code,enabled,message
,F12,P7,DC2,R1,F,58,L,1,F12P7DC2R1F58PL,0,0,0,0,
,F12,P7,DC2,R1,F,58,R,1,F12P7DC2R1F58PR,0,0,0,0,
,F12,P7,DC2,R1,F,61,L,1,F12P7DC2R1F61PL,0,0,0,0,
,F12,P7,DC2,R1,F,61,R,1,F12P7DC2R1F61PR,0,0,0,0,
,F12,P7,DC2,R1,F,66,L,1,F12P7DC2R1F66PL,0,0,0,0,
,F12,P7,DC2,R1,F,66,R,1,F12P7DC2R1F66PR,0,0,0,0,
,F12,P7,DC2,R1,F,69,L,1,F12P7DC2R1F69PL,0,0,0,0,
,F12,P7,DC2,R1,F,69,R,1,F12P7DC2R1F69PR,0,0,0,0,
,F12,P7,DC2,R1,G,58,L,1,F12P7DC2R1G58PL,0,0,0,0,
,F12,P7,DC2,R1,G,58,R,1,F12P7DC2R1G58PR,0,0,0,0,
,F12,P7,DC2,R1,G,66,L,1,F12P7DC2R1G66PL,0,0,0,0,
,F12,P7,DC2,R1,G,66,R,1,F12P7DC2R1G66PR,0,0,0,0,
,F12,P7,DC2,R1,G,69,L,1,F12P7DC2R1G69PL,0,0,0,0,
,F12,P7,DC2,R1,G,69,R,1,F12P7DC2R1G69PR,0,0,0,0,
,F12,P7,DC2,R1,G,61,L,0,F12P7DC2R1G61PL,0,0,0,0,
,F12,P7,DC2,R1,G,61,R,0,F12P7DC2R1G61PR,0,0,0,0,
,F12,P7,DC2,R1,H,58,L,1,F12P7DC2R1H58PL,0,0,0,0,
,F12,P7,DC2,R1,H,58,R,1,F12P7DC2R1H58PR,0,0,0,0,
,F12,P7,DC2,R1,H,61,L,1,F12P7DC2R1H61PL,0,0,0,0,
,F12,P7,DC2,R1,H,61,R,1,F12P7DC2R1H61PR,0,0,0,0,
,F12,P7,DC2,R1,H,69,L,1,F12P7DC2R1H69PL,0,0,0,0,
,F12,P7,DC2,R1,H,69,R,1,F12P7DC2R1H69PR,0,0,0,0,
,F12,P7,DC2,R1,H,66,L,0,F12P7DC2R1H66PL,0,0,0,0,
,F12,P7,DC2,R1,H,66,R,0,F12P7DC2R1H66PR,0,0,0,0,
,F12,P7,DC2,R1,I,58,L,1,F12P7DC2R1I58PL,0,0,0,0,
,F12,P7,DC2,R1,I,58,R,1,F12P7DC2R1I58PR,0,0,0,0,
,F12,P7,DC2,R1,I,61,L,1,F12P7DC2R1I61PL,0,0,0,0,
,F12,P7,DC2,R1,I,61,R,1,F12P7DC2R1I61PR,0,0,0,0,
,F12,P7,DC2,R1,I,66,L,1,F12P7DC2R1I66PL,0,0,0,0,
,F12,P7,DC2,R1,I,66,R,1,F12P7DC2R1I66PR,0,0,0,0,
,F12,P7,DC2,R1,I,69,L,1,F12P7DC2R1I69PL,0,0,0,0,
,F12,P7,DC2,R1,I,69,R,1,F12P7DC2R1I69PR,0,0,0,0,
,F12,P7,DC2,R1,J,61,L,1,F12P7DC2R1J61PL,0,0,0,0,
