#group,false,false,false,false
#datatype,string,long,string,double
#default,_result,,,
,result,table,name,_value
,,0,F12P7DC1R1E107PL,929.8000000000201
,,0,F12P7DC1R1H107PL,912.5000000000194
,,0,F12P7DC1R1D107PL,909.4000000000228
,,0,F12P7DC1R1C107PR,902.0000000000211
,,0,F12P7DC1R3Z75PL,897.9000000000165
,,0,F12P7DC1R3W70PR,894.600000000008
,,0,F12P7DC1R1C107PL,861.0000000000183
,,0,F12P7DC1R1U110PR,856.6000000000149
,,0,F12P7DC1R3W70PL,846.2000000000049
,,0,F12P7DC1R1R110PL,828.3000000000187
,,0,F12P7DC1R1U110PL,795.8000000000153
,,0,F12P7DC1R3Z75PR,690.7000000000021
,,0,F12P7DC1R1O110PR,647.600000000013
,,0,F12P7DC1R1O110PL,624.4000000000115
,,0,F12P7DC1R3J67PR,523.9000000000179
,,0,F12P7DC1R3H67PL,506.50000000001137
,,0,F12P7DC1R3H67PR,495.40000000000987
,,0,F12P7DC1R3J67PL,483.20000000001363
,,0,F12P7DC1R3N70PL,479.3000000000076
,,0,F12P7DC1R3G75PL,461.2000000000095
,,0,F12P7DC1R3N70PR,433.9000000000047
,,0,F12P7DC1R3C78PR,424.7000000000085
,,0,F12P7DC1R3U70PR,421.6000000000122
,,0,F12P7DC1R3K70PL,410.8000000000008
,,0,F12P7DC1R3J70PL,393.00000000000364
,,0,F12P7DC1R3K70PR,390.60000000000076
,,0,F12P7DC1R3J70PR,385.90000000000305
,,0,F12P7DC1R3T70PR,382.9000000000024
,,0,F12P7DC1R3C78PL,382.600000000005
,,0,F12P7DC1R3S67PR,380.7000000000132
,,0,F12P7DC1R3R70PL,368.800000000003
,,0,F12P7DC1R3T70PL,368.5000000000005
,,0,F12P7DC1R3M70PL,368.3000000000028
,,0,F12P7DC1R3M70PR,360.20000000000266
,,0,F12P7DC1R3W78PL,336.5000000000047
,,0,F12P7DC1R1J99PL,329.3000000000025
,,0,F12P7DC1R3F70PL,329.29999999999745
,,0,F12P7DC1R1W102PR,327.7000000000041
,,0,F12P7DC1R2L94PL,326.0000000000055
,,0,F12P7DC1R3R70PR,320.2000000000018
,,0,F12P7DC1R1J99PR,319.10000000000065
,,0,F12P7DC1R3I70PR,316.299999999998
,,0,F12P7DC1R3D70PL,316.1999999999982
,,0,F12P7DC1R3F78PR,313.9999999999999
,,0,F12P7DC1R3I70PL,312.09999999999815
,,0,F12P7DC1R1S99PR,304.5000000000004
,,0,F12P7DC1R3F70PR,304.4999999999974
,,0,F12P7DC1R1S99PL,297.6999999999987
,,0,F12P7DC1R2C94PL,292.5000000000015
,,0,F12P7DC1R3U70PL,291.8999999999982
,,0,F12P7DC1R3G70PR,291.7999999999995
,,0,F12P7DC1R3G75PR,290.50000000000256
,,0,F12P7DC1R1K99PL,289.69999999999925
,,0,F12P7DC1R3K75PL,282.30000000000507
,,0,F12P7DC1R2S91PR,281.9999999999983
,,0,F12P7DC1R2F86PL,279.30000000000007
,,0,F12P7DC1R3M78PR,278.1999999999949
,,0,F12P7DC1R3W78PR,277.5999999999994
,,0,F12P7DC1R2L86PR,275.99999999999727
,,0,F12P7DC1R2S91PL,267.5999999999952
,,0,F12P7DC1R2C86PR,265.29999999999563
,,0,F12P7DC1R1W102PL,257.5000000000002
,,0,F12P7DC1R3N75PR,257.4999999999964
,,0,F12P7DC1R2V91PL,255.49999999999463
,,0,F12P7DC1R2R91PL,253.69999999999436
,,0,F12P7DC1R3E75PL,251.59999999999388
,,0,F12P7DC1R1K99PR,250.49999999999397
