#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,_result,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,bank,name
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T09:40:00Z,4.9,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T09:50:00Z,4.9,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T10:00:00Z,7.5,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T10:10:00Z,7.9,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T10:20:00Z,7.9,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T10:30:00Z,7.9,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T10:40:00Z,8,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T10:50:00Z,7.9,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T11:00:00Z,8,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T11:10:00Z,8,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T11:20:00Z,6.7,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T11:30:00Z,4.8,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T11:40:00Z,7.7,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T11:50:00Z,7.4,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T12:00:00Z,7.3,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T12:10:00Z,7.7,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T12:20:00Z,8,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T12:30:00Z,7.9,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T12:40:00Z,5,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T12:50:00Z,7.6,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T13:00:00Z,7.5,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T13:10:00Z,7.6,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T13:20:00Z,7.9,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T13:30:00Z,8,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T13:40:00Z,5,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T13:50:00Z,5,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T14:00:00Z,4.8,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T14:10:00Z,7.4,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T14:20:00Z,7.5,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T14:30:00Z,7.4,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T14:40:00Z,7.6,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T14:50:00Z,7.7,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T15:00:00Z,7.7,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T15:10:00Z,7.7,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T15:20:00Z,7.7,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T15:30:00Z,7.9,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T15:40:00Z,7.9,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T15:50:00Z,8,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T16:00:00Z,8,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T16:10:00Z,7.8,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T16:20:00Z,7.9,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T16:30:00Z,8.1,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T16:40:00Z,8,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T16:50:00Z,7.9,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T17:00:00Z,7.7,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T17:10:00Z,7.9,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T17:20:00Z,7.9,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T17:30:00Z,8,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T17:40:00Z,5.2,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T17:50:00Z,5.7,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T18:00:00Z,5.9,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T18:10:00Z,6,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T18:20:00Z,7.8,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T18:30:00Z,7.8,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T18:40:00Z,8,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T18:50:00Z,7.1,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T19:00:00Z,8,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T19:10:00Z,8,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T19:20:00Z,7.8,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T19:30:00Z,7.8,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T19:40:00Z,8.1,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T19:50:00Z,8,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T20:00:00Z,8.3,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T20:10:00Z,8.1,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T20:20:00Z,8.3,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T20:30:00Z,7.9,current,pdu,L1-1,F12P7DC1R1E110PR
